rank,id,symbol,name,market_cap_usd,volume_24h_usd,price_usd,passes_liquidity,ticker,history_obs,passes_history
78,ethena,ENA,Ethena,805076374,141333145.0,0.091815,True,ENA-USD,736,True
79,blockchain-capital,BCAP,Blockchain Capital,756851940,0.0,83.06,False,BCAP-USD,0,False
80,filecoin,FIL,Filecoin,697613745,115590283.0,0.906825,True,FIL-USD,3038,True
81,midnight-3,NIGHT,Midnight,696424449,33482654.0,0.04192781,True,NIGHT-USD,636,True
82,official-trump,TRUMP,Official Trump,688174226,134645295.0,2.96,True,TRUMP-USD,2831,True
83,aptos,APT,Aptos,687367688,65602169.0,0.865097,True,APT-USD,1311,True
84,ousg,OUSG,OUSG,666094384,0.0,114.84,False,OUSG-USD,8,False
85,vechain,VET,VeChain,645076599,20973759.0,0.00750179,True,VET-USD,2805,True
86,flare-networks,FLR,Flare,643063525,4058692.0,0.00751495,False,FLR-USD,1184,True
87,xdce-crowd-sale,XDC,XDC Network,636609913,25471481.0,0.03195034,True,XDC-USD,2917,True
88,hash-2,HASH,Provenance Blockchain,628752234,5910.67,0.01111078,False,HASH-USD,608,True
89,ylds,YLDS,YLDS,620944667,1677540.0,0.999931,False,YLDS-USD,0,False
90,beldex,BDX,Beldex,619443191,11209541.0,0.080056,True,BDX-USD,2497,True
91,arbitrum,ARB,Arbitrum,611738265,85521377.0,0.101266,True,ARB-USD,3054,True
92,jupiter-exchange-solana,JUP,Jupiter,601709037,30062485.0,0.169377,True,JUP-USD,3005,True
93,gho,GHO,GHO,583736150,3694183.0,0.999548,False,GHO-USD,994,True
94,stable-2,STABLE,​​Stable,579928445,23446718.0,0.02686072,True,STABLE-USD,412,True
95,fetch-ai,FET,Artificial Superintelligence Alliance,557435473,144683196.0,0.246747,True,FET-USD,2594,True
96,usual-usd,USD0,Usual USD,557268555,367126.0,0.997092,False,USD0-USD,615,True
97,just,JST,JUST,551771591,25509581.0,0.062591,True,JST-USD,2162,True
98,bonk,BONK,Bonk,529695471,58783686.0,6.02e-06,True,BONK-USD,1020,True
99,layerzero,ZRO,LayerZero,521907457,89255148.0,2.07,True,ZRO-USD,265,False
100,pancakeswap-token,CAKE,PancakeSwap,495137413,41762961.0,1.51,True,CAKE-USD,2017,True
101,true-usd,TUSD,TrueUSD,494155695,12391543.0,0.999498,True,TUSD-USD,2955,True
102,a7a5,A7A5,A7A5,488477399,4849.35,0.01246087,False,A7A5-USD,322,False
103,virtual-protocol,VIRTUAL,Virtuals Protocol,445144459,88214532.0,0.677663,True,VIRTUAL-USD,783,True
104,pudgy-penguins,PENGU,Pudgy Penguins,425789925,100249607.0,0.00677087,True,PENGU-USD,0,False
105,siren-2,SIREN,Siren,424899404,28554567.0,0.583627,True,SIREN-USD,372,True
106,dash,DASH,Dash,416386222,78435444.0,32.89,True,DASH-USD,3072,True
107,euro-coin,EURC,EURC,415351096,54498447.0,1.17,True,EURC-USD,930,True
108,blockstack,STX,Stacks,414682068,12765820.0,0.225386,True,STX-USD,2005,True
109,chiliz,CHZ,Chiliz,403369141,48503203.0,0.03919741,True,CHZ-USD,2473,True
110,janus-henderson-anemoy-aaa-clo-fund,JAAA,Janus Henderson Anemoy AAA CLO Fund,396635573,0.0,1.029,False,JAAA-USD,0,False
111,first-digital-usd,FDUSD,First Digital USD,395904262,203265805.0,0.999421,True,FDUSD-USD,984,True
112,tezos,XTZ,Tezos,388038623,13388201.0,0.358971,True,XTZ-USD,3072,True
113,edgex,EDGE,edgeX,381061941,49892404.0,1.086,True,EDGE-USD,2704,True
114,sei-network,SEI,Sei,379195707,37929794.0,0.056315,True,SEI-USD,964,True
115,kinesis-gold,KAU,Kinesis Gold,365566158,44999.0,153.2,False,KAU-USD,669,True
116,hastra-prime,PRIME,PRIME,361705027,1963347.0,1.029,False,PRIME-USD,758,True
117,dexe,DEXE,DeXe,361061206,24196275.0,7.72,True,DEXE-USD,2009,True
118,usx,USX,USX,360571027,1043894.0,0.999475,False,USX-USD,351,False
119,ether-fi,ETHFI,Ether.fi,358879806,37968830.0,0.455929,True,ETHFI-USD,751,True
120,adi-token,ADI,ADI,352635174,968145.0,4.41,False,ADI-USD,2422,True
