obs,start,end,exponent_b,intercept_a,r2,latest_price,price_to_model,resid_q10_mult,resid_q50_mult,resid_q90_mult,symbol,ticker,rank,name,market_cap_usd,volume_24h_usd,exp_distance_to_btc,score
2831,2017-11-09,2026-02-18,-1.1744900717671707,3.4946635831443977,0.36036503510002615,0.0003020000003743917,0.10388741455808252,0.14847890242497494,0.9928330425144924,8.840593442111325,TRUMP,TRUMP-USD,82,Official Trump,688174226.0,134645295.0,2.8743093720869,0.42019949674146706
736,2024-04-02,2026-04-08,-0.3498291082646209,1.030841915863073,0.2945599589286908,0.09197675436735153,0.3302983725588299,0.4644001602976826,0.957458408465053,2.2248640212995947,ENA,ENA-USD,78,Ethena,805076374.0,141333145.0,2.0496484085843507,0.4086568556443779
2395,2019-09-17,2026-04-08,0.37214858039528714,-4.928024259056286,0.20980062964573232,0.09289252758026123,0.708909459194708,0.45631169289926826,0.787974449430735,2.907572405322072,HBAR,HBAR-USD,28,Hedera,4020059569.0,88755833.0,1.3276707199244426,0.39274846220079335
2672,2018-12-14,2026-04-08,0.34212214774163274,-4.706899728701102,0.23741171880717127,0.07148680835962296,0.5321203146997459,0.5210507056658757,0.8527501268497126,2.0668629473327886,CRO,CRO-USD,36,Cronos,3026710171.0,10015571.0,1.357697152578097,0.3859621799602539
3072,2017-11-09,2026-04-08,-0.39582500898565615,7.07199152768923,0.21981153445451085,313.9560852050781,6.396619842093093,0.44953690718185907,0.8346803790589284,2.5509567922888245,ZEC,ZEC-USD,22,Zcash,5223148239.0,769019818.0,2.095644309305386,0.38453487644044776
2805,2018-08-03,2026-04-08,0.429245547517475,-6.901224031934008,0.1998472119961151,0.007507783360779285,0.24698206487476942,0.37146490338777505,0.8785220873114254,3.944674838231911,VET,VET-USD,85,VeChain,645076599.0,20973759.0,1.2705737528022547,0.3784823269461656
2048,2020-08-29,2026-04-08,-1.069042983090402,7.204484076664258,0.2746406684606437,0.004285419825464487,0.011042813695307083,0.034439276757890346,1.8850974688039264,4.114680486914302,TON,TON-USD,35,Toncoin,3077498486.0,90453605.0,2.7688622834101317,0.3760484704468865
3072,2017-11-09,2026-04-08,0.261174319422177,-2.354266143716491,0.11914555890190104,1.369043231010437,1.7702601617658194,0.44153875880277244,0.8086224956473986,3.052171762837905,XRP,XRP-USD,5,XRP,84088267645.0,2803018384.0,1.4386449808975528,0.3715444349672836
2057,2020-08-20,2026-04-08,-0.36330943276579675,4.388235373996711,0.19679520748451296,1.300655722618103,0.2582885885361224,0.3700291612239841,0.9100534235197916,2.96721007550044,DOT,DOT-USD,42,Polkadot,2183497425.0,175991535.0,2.0631287330855264,0.361246516098484
372,2025-04-01,2026-04-08,0.32332763069564924,-3.842300441430754,0.1714593846294752,0.5813547372817993,3.999480069510953,0.5311695453401963,0.8267181559170087,2.3510206697633635,SIREN,SIREN-USD,105,Siren,424899404.0,28554567.0,1.3764916696240805,0.3610797081308685
3072,2017-11-09,2026-04-08,-0.2736960210350616,7.760825326595028,0.1678693344393114,443.2205810546875,1.700707447924747,0.39356045428852854,1.0400182781458391,2.084580291095183,BCH,BCH-USD,16,Bitcoin Cash,8874558060.0,209326664.0,1.9735153213547914,0.35124184410296627
